sku_number;name;meta_description;product_styles1;product_styles2;product_styles3;weave;product_metarials1;product_metarials2;product_colors1;product_colors2;product_colors3;product_colors4;pattern;region;width_by_feet-f;width_by_feet-i;width_by_inches;length_by_feet-f;length_by_feet-i;length_by_inches;height;age;period_made;is_used;has_imperfection;condition_details;price;discount;retail_price;is_local_pickup;local_delivery_miles;pickup_charge;is_own_shipping;is_free_shipping;status
Am10011;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Charcoal;Teal;Black;Stripe;Anatolia;9;4;112;9;9;117;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;2835;0,1;5670;x;60;200,00;x;x;1
Am10013;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Pink;Gray;Charcoal;Gray;Stripe;Anatolia;9;11;119;11;11;143;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;3465;0,1;6930;x;60;200,00;x;x;1
Am10014;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Orange;Blue;Tan;Brown;Stripe;Anatolia;7;6;90;12;1;145;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;2940;0,1;5880;x;60;200,00;x;x;1
Am10015;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Charcoal;Brown;Light Gray;Stripe;Anatolia;5;0;60;10;1;121;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;1750;0,1;3500;x;60;200,00;x;x;1
Am10016;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Charcoal;Brown;Ivory;Stripe;Anatolia;6;7;79;9;11;119;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;1890;0,1;3780;x;60;200,00;x;x;1
Am10044;Modern Kilim Deco Flatweave Rug;A beautiful Modern kilim handwoven by Master Artisans using fine handspun wool. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkey. This Turkish style modern kilim rug is handwoven. ;Art Deco;Modern;Mid Century;Hand Knotted;Wool;;Black;Tan;Ivory;Charcoal;Geometric;Pakistan;9;10;118;12;10;154;0,15;One of One Modern;2010s;;;Excellent condition. ;2700;0,1;5400;x;60;200,00;x;x;1
Am10106;Antique Persian Mahal ;An exquisite antique  Persian Mahal Sultanabad. Weathered and distressed extremely decorative and highly sort after master piece  ;Traditional;Tribal;Shabby Chic;Hand Knotted;Wool;;;;;;Floral;Persia;9;6;114;13;0;156;;Antiques;Early 20th Century;x;x;Excellent condition. Minor wear consistent with age.;25272;0,1;50544;x;60;200,00;x;x;1
Am10108;Antique Persian Mahal ;An exquisite antique  Persian Mahal Sultanabad. Weathered and distressed extremely decorative and highly sort after master piece  ;Traditional;Tribal;Shabby Chic;Hand Knotted;Wool;;;;;;Geometric;Persia;10;0;120;16;10;202;;Antiques;Early 20th Century;x;x;Excellent condition. Minor wear consistent with age.;25600;0,1;51200;x;60;200,00;x;x;1
Am10109;Antique Persian Mahal ;An exquisite antique  Persian Mahal Sultanabad. Weathered and distressed extremely decorative and highly sort after master piece  ;Traditional;Tribal;Shabby Chic;Hand Knotted;Wool;;;;;;floral;Persia;10;0;120;17;0;204;;Antiques;Early 20th Century;x;x;Excellent condition. Minor wear consistent with age.;27200;0,1;54400;x;60;200,00;x;x;1
Am10119;Vintage Contemporary Rug;A beautiful blend of Antique & Modern Hand knotted in Iran vintage Persian Bakhtiari.;Shabby Chic;Boho Chic;Contemporary;Hand Knotted;Wool;;;;;;Strie;Persia;10;8;128;12;3;147;;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;4800;0,1;9600;x;60;200,00;x;x;1
Am10120;;;;;;Hand Knotted;Wool;;;;;;Geometric;Persia;10;4;124;13;6;162;;Antiques;Early 20th Century;x;x;Excellent condition. Minor wear consistent with age.;20800;0,1;41600;x;60;200,00;x;x;1
Am10153;;;;;;Hand Knotted;Wool;;;;;;Floral;Persia;13;0;156;19;8;236;;Antiques;Early 20th Century;x;x;Excellent condition. Minor wear consistent with age.;39520;0,1;79040;x;60;200,00;x;x;1
Am10155;;;;;;Hand Knotted;Wool;;;;;;Geometric;Persia;13;2;158;19;2;230;;Antiques;Early 20th Century;x;x;Excellent condition. Minor wear consistent with age.;39520;0,1;79040;x;60;200,00;x;x;1
Am10177;Vintage Contemporary Rug;A beautiful blend of Antique & Modern Hand knotted in Iran vintage Persian Bakhtiari.;Shabby Chic;Boho Chic;Contemporary;Hand Knotted;Wool;;;;;;Geometric;Persia;10;11;131;14;6;174;;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;7000;0,1;14000;x;60;200,00;x;x;1
Am10429;;;;;;Hand Knotted;Wool;;;;;;Geometric;Persia;6;1;73;16;5;197;;Antiques;;x;x;Excellent condition. Minor wear consistent with age.;4800;0,1;9600;x;60;200,00;x;x;1
Am10435;;;;;;Hand Knotted;Wool;;;;;;Geometric;Persia;6;5;77;11;0;132;;Antiques;Early 20th Century;x;x;Excellent condition. Minor wear consistent with age.;7920;0,1;15840;x;60;200,00;x;x;1
Am10533;;;;;;Hand Knotted;Wool;;;;;;Geometric;Persia;6;9;81;9;6;114;;Antiques;Early 20th Century;x;x;Excellent condition. Minor wear consistent with age.;8100;0,1;16200;x;60;200,00;x;x;1
Am10544;Antique Persian Mahal ;An exquisite antique  Persian Mahal Sultanabad. Weathered and distressed extremely decorative and highly sort after master piece  ;Traditional;Tribal;Shabby Chic;Hand Knotted;Wool;;;;;;Floral;Persia;7;7;91;10;6;126;;Antiques;Early 20th Century;x;x;Excellent condition. Minor wear consistent with age.;8400;0,1;16800;x;60;200,00;x;x;1
Am10811;Antique Persian Mahal ;An exquisite antique  Persian Mahal Sultanabad. Weathered and distressed extremely decorative and highly sort after master piece  ;Traditional;Tribal;Shabby Chic;Hand Knotted;Wool;;;;;;Floral;Persia;10;4;124;13;6;162;;Antiques;Early 20th Century;x;x;Excellent condition. Minor wear consistent with age.;20800;0,1;41600;x;60;200,00;x;x;1
Am10812;Antique Persian Mahal ;An exquisite antique  Persian Mahal Sultanabad. Weathered and distressed extremely decorative and highly sort after master piece  ;Traditional;Tribal;Shabby Chic;Hand Knotted;Wool;;;;;;Floral;Persia;10;6;126;13;5;161;;Antiques;Early 20th Century;x;x;Excellent condition. Minor wear consistent with age.;20800;0,1;41600;x;60;200,00;x;x;1
Am10818;Vintage Modern Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Greige;Tan;Brown;Strie;Anatolia;9;0;108;11;8;140;0,15;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;7920;0,1;15840;x;60;200,00;x;x;1
Am10012;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Orange;Blue;Pink;Stripe;Anatolia;9;0;108;9;8;116;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;2835;0,1;5670;x;60;200,00;x;x;0
Am10017;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Pink;Gray;Blue;Brown;Strie;Anatolia;6;3;75;11;7;139;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;2310;0,1;4620;x;60;200,00;x;x;0
Am10018;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Charcoal;Brown;Gray;Orange;Strie;Anatolia;5;0;60;11;1;133;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;1925;0,1;3850;x;60;200,00;x;x;0
Am10019;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Charcoal;Brown;Gray;Tan;Stripe;Anatolia;6;4;76;10;5;125;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;2100;0,1;4200;x;60;200,00;x;x;0
Am10020;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Tan;Brown;Ivory;Geometric;Anatolia;5;10;70;9;4;112;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;1575;0,1;3150;x;60;200,00;x;x;0
Am10021;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Blue;Gray;Purple;Green;Geometric;Anatolia;6;8;80;9;3;111;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;1890;0,1;3780;x;60;200,00;x;x;0
Am10022;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Brown;Gray;Charcoal ;Dark Gray;Strie;Anatolia;4;7;55;8;0;96;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;1120;0,1;2240;x;60;200,00;x;x;0
Am10023;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Tan;Brown;Ivory;Geometric;Anatolia;5;11;71;8;10;106;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;1400;0,1;2800;x;60;200,00;x;x;0
Am10024;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Tan;Brown;Ivory;Botanical;Anatolia;5;9;69;9;1;109;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;1575;0,1;3150;x;60;200,00;x;x;0
Am10025;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Charcoal;Blue;Light Gray;Stripe;Anatolia;6;5;77;9;8;116;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;1890;0,1;3780;x;60;200,00;x;x;0
Am10026;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Tan;Gray;Pink;Green;Geometric;Anatolia;5;2;62;6;10;82;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;1050;0,1;2100;x;60;200,00;x;x;0
Am10027;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Taupe;Pink;Gold;Diamond;Anatolia;5;4;64;7;10;94;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;1225;0,1;2450;x;60;200,00;x;x;0
Am10028;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Red;Orange;Brown;Blue;Stripe;Anatolia;6;8;80;11;4;136;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;2310;0,1;4620;x;60;200,00;x;x;0
Am10029;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Green;Gray;Tan;Purple;Geometric;Anatolia;7;0;84;11;9;141;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;2695;0,1;5390;x;60;200,00;x;x;0
Am10030;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Charcoal;White;Pink;Strie;Anatolia;11;0;132;11;2;134;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;4235;0,1;8470;x;60;200,00;x;x;0
Am10031;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Yellow;Charcoal ;Ivory;Stripe;Anatolia;7;2;86;11;7;139;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;2695;0,1;5390;x;60;200,00;x;x;0
Am10032;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Brown;Gray;Ivory;Charcoal;Stripe;Anatolia;5;5;65;12;4;148;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;2100;0,1;4200;x;60;200,00;x;x;0
Am10033;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Charcoal;Brown;Gray;Silver;Stripe;Anatolia;6;5;77;12;0;144;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;2520;0,1;5040;x;60;200,00;x;x;0
Am10034;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Green;Gray;Blue;Purple;Geometric;Anatolia;6;4;76;11;5;137;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;2310;0,1;4620;x;60;200,00;x;x;0
AM10035;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Light Gray;Greige;Ivory;Stripe;Anatolia;7;4;88;10;4;124;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;2450;0,1;4900;x;60;200,00;x;x;0
Am10036;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Tan;Gray;Brown;Charcoal;Geometric;Anatolia;5;9;69;11;10;142;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;1925;0,1;3850;x;60;200,00;x;x;0
Am10037;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Brown;Charcoal ;Tan;Stripe;Anatolia;6;10;82;11;8;140;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;2310;0,1;4620;x;60;200,00;x;x;0
Am10038;Vintage Modern Flatweave Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Brown;Charcoal ;Tan;Strie;Anatolia;6;11;83;13;0;156;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;2730;0,1;5460;x;60;200,00;x;x;0
Am10039;Vintage Modern Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Brown;Charcoal ;Silver;Geometric;Anatolia;8;4;100;12;8;152;0,15;Vintage;1950;x;x;Excellent condition. Minor wear consistent with age.;3360;0,1;6720;x;60;200,00;x;x;0
Am10040;Fine Oushak Wool Rug;A beautiful Persian Sultanabad design using handspun high altitude wool dyed in subtle colors.  Hand Knotted by master weavers of Afghanistan & painstakingly finishing process done by Pakistani Artisans makes this rug a masterpiece & takes us back to the late 19th-century era.;Transitional ;Turkish;Shabby Chic;Hand Knotted;Wool;;Taupe;Gold ;Ivory;Green;Floral;Pakistan;10;4;124;13;7;163;0,25;One of One Traditional;2010s;;;Excellent condition. ;5460;0,1;10920;x;60;200,00;x;x;0
Am10041;Fine Oushak Wool Rug;A beautiful Persian Sultanabad design using handspun high altitude wool dyed in subtle colors.  Hand Knotted by master weavers of Afghanistan & painstakingly finishing process done by Pakistani Artisans makes this rug a masterpiece & takes us back to the late 19th-century era.;Transitional ;Turkish;Traditional;Hand Knotted;Wool;;Brown;Gold ;Tan;Ivory;Floral;Pakistan;9;11;119;13;11;167;0,25;One of One Traditional;2010s;;;Excellent condition. ;4914;0,1;9828;x;60;200,00;x;x;0
